tpep_pickup_datetime,PULocationID,trip_distance,fare_amount
2023-02-13 17:11:02,141,0.94,7.9
2023-02-05 18:39:05,138,10.39,45.0
2023-02-21 10:15:06,138,10.26,47.8
2023-02-24 18:40:20,234,1.53,14.2
2023-02-11 08:55:21,137,16.71,70.0
2023-02-26 08:07:04,229,1.3,7.9
2023-02-02 13:58:15,13,13.68,83.2
2023-02-10 00:37:07,142,4.21,22.6
2023-02-19 00:07:51,114,2.1,11.4
2023-02-01 11:06:21,162,1.9,14.2
2023-02-21 17:04:19,141,1.4,8.6
2023-02-01 10:16:31,170,4.11,28.9
2023-02-14 18:20:56,141,0.85,7.2
2023-02-12 01:06:35,107,1.3,11.4
2023-02-18 17:28:59,137,1.54,12.1
2023-02-27 16:11:20,264,15.8,58.3
2023-02-11 02:27:32,114,1.0,7.2
2023-02-25 14:13:23,255,2.87,16.79
2023-02-07 13:48:23,231,1.5,11.4
2023-02-03 16:32:02,236,0.66,6.5
2023-02-25 18:27:56,237,1.95,12.8
2023-02-07 21:57:43,161,0.92,8.6
2023-02-05 01:00:57,79,1.7,10.0
2023-02-24 07:27:19,142,1.2,9.3
2023-02-11 23:10:02,236,2.11,13.5
2023-02-22 17:45:24,162,2.63,19.1
2023-02-06 19:45:00,140,5.2,14.76
2023-02-15 16:11:58,237,1.3,9.3
2023-02-12 10:45:05,264,2.54,14.9
2023-02-27 23:39:44,142,8.9,42.2
2023-02-21 17:43:57,246,1.77,12.8
2023-02-21 17:04:02,186,3.8,22.6
2023-02-05 17:40:31,234,1.1,9.3
2023-02-08 12:37:55,239,3.07,24.7
2023-02-12 03:09:50,79,0.17,-6.5
2023-02-22 04:25:16,48,2.29,12.8
2023-02-24 21:12:02,48,7.67,31.7
2023-02-10 17:30:32,233,2.09,12.8
2023-02-19 17:04:15,161,1.28,10.7
2023-02-24 10:42:06,75,5.66,28.9
2023-02-10 08:06:57,132,12.51,60.4
2023-02-08 14:27:12,236,1.3,10.7
2023-02-08 20:47:15,231,2.81,14.9
2023-02-09 16:26:44,237,2.0,14.2
