tpep_pickup_datetime,PULocationID,trip_distance,fare_amount
2023-01-29 17:52:02,262,1.17,7.2
2023-01-08 15:57:24,229,0.9,6.5
2023-01-21 19:38:01,45,0.95,7.9
2023-01-23 16:07:31,237,0.88,16.3
2023-01-26 21:21:08,229,1.03,6.5
2023-01-23 22:07:12,137,2.76,14.2
2023-01-14 02:48:12,68,2.8,17.7
2023-01-01 18:24:36,170,1.2,10.7
2023-01-20 22:58:35,107,4.31,21.2
2023-01-22 11:46:43,239,1.95,11.4
2023-01-25 15:03:06,234,1.28,10.0
2023-01-02 07:22:43,141,7.11,28.9
2023-01-29 14:53:15,132,12.26,56.2
2023-01-17 07:49:06,24,4.43,26.79
2023-01-28 18:38:39,140,5.3,27.5
2023-01-03 20:51:21,246,5.8,25.4
2023-01-26 14:37:28,237,0.77,8.6
2023-01-12 19:40:23,234,1.78,13.5
2023-01-18 09:46:28,137,1.91,12.8
2023-01-02 12:30:36,237,1.48,10.0
2023-01-26 12:02:27,162,0.66,9.3
2023-01-23 17:54:07,45,1.62,10.7
2023-01-28 11:50:32,137,1.23,9.3
2023-01-15 10:21:31,224,0.86,7.2
2023-01-30 22:40:33,249,2.89,16.3
2023-01-09 09:46:04,236,0.87,7.2
2023-01-07 12:01:21,87,1.65,14.2
2023-01-03 23:25:37,162,1.29,8.6
2023-01-13 10:05:02,237,1.4,11.4
2023-01-07 02:35:29,148,2.0,13.5
2023-01-09 10:36:31,140,2.38,12.1
2023-01-08 12:39:51,229,3.49,19.8
2023-01-01 03:14:51,142,4.08,20.5
2023-01-31 07:43:23,236,1.55,10.0
2023-01-21 18:54:21,263,0.66,5.8
2023-01-12 20:42:51,238,0.6,5.8
2023-01-28 19:32:20,148,5.96,39.4
2023-01-07 10:28:39,151,1.2,7.9
2023-01-05 13:59:21,264,1.11,7.9
2023-01-22 03:44:24,148,0.73,6.5
2023-01-31 11:51:11,237,0.72,7.9
2023-01-21 11:15:07,170,2.76,14.9
2023-01-24 09:15:30,142,2.8,13.5
2023-01-07 19:20:30,132,18.78,70.0
2023-01-26 12:19:39,234,3.6,19.8
2023-01-15 18:18:19,142,21.6,70.0
2023-01-27 08:51:44,264,8.69,36.6
2023-01-25 09:10:02,170,4.1,21.2
2023-01-01 14:49:56,100,0.3,4.4
2023-01-26 08:55:47,170,0.9,7.9
2023-01-29 17:42:24,43,0.9,7.9
2023-01-25 17:31:49,141,1.26,9.3
2023-01-09 14:22:16,125,5.7,28.9
2023-01-23 06:37:02,239,1.61,10.7
2023-01-05 07:36:11,238,2.72,13.5
2023-01-21 01:18:25,114,4.9,24.7
2023-01-31 12:29:59,90,2.14,19.1
2023-01-08 00:51:23,249,2.57,14.2
2023-01-23 18:46:58,100,3.1,18.4
2023-01-23 14:13:52,237,0.0,3.7
2023-01-14 12:47:06,41,2.5,13.5
2023-01-11 16:57:33,140,4.01,21.2
2023-01-18 23:42:48,68,3.26,17.7
2023-01-31 16:43:57,138,9.57,60.4
2023-01-31 09:55:20,161,1.23,10.7
2023-01-16 17:08:51,90,1.3,8.6
2023-01-31 21:17:49,144,4.0,20.5
2023-01-14 11:22:55,230,1.45,11.4
2023-01-10 16:04:29,162,1.07,10.7
2023-01-11 18:40:22,239,2.19,14.9
2023-01-12 12:53:13,230,2.0,18.4
2023-01-14 11:46:34,141,0.76,5.8
2023-01-04 15:13:47,100,0.85,7.9
2023-01-11 10:56:22,229,6.0,25.4
2023-01-19 12:42:02,162,0.79,11.4
2023-01-24 16:37:10,163,1.8,12.1
2023-01-12 11:41:55,238,2.18,17.0
2023-01-24 18:44:43,162,2.17,19.8
2023-01-31 06:53:40,140,0.46,5.1
2023-01-20 18:54:48,162,1.03,7.9
2023-01-13 00:45:52,132,18.41,70.0
2023-01-24 21:51:39,161,2.4,14.9
2023-01-10 05:51:14,68,1.58,9.3
2023-01-10 21:01:11,87,4.87,24.7
2023-01-15 00:14:19,164,0.65,6.5
2023-01-05 23:27:12,48,0.64,5.8
2023-01-01 22:59:49,234,1.6,10.0
2023-01-19 17:03:38,162,1.2,14.2
2023-01-18 22:54:14,170,2.45,14.9
2023-01-29 11:15:29,50,4.68,24.0
2023-01-14 16:17:29,231,0.0,70.0
2023-01-28 13:47:46,141,1.46,14.2
2023-01-24 08:57:59,161,1.42,12.1
2023-01-22 18:56:55,50,0.74,5.8
2023-01-06 14:25:31,132,20.3,70.0
2023-01-11 19:02:24,151,1.8,12.1
2023-01-31 17:47:08,162,1.8,13.5
2023-01-01 15:05:46,161,0.6,5.8
2023-01-14 15:41:19,148,1.21,10.0
2023-01-04 14:30:40,90,4.8,29.6
2023-01-18 21:20:24,170,1.8,10.7
2023-01-12 20:28:56,137,2.58,12.8
2023-01-14 09:04:09,239,2.38,-13.5
2023-01-07 01:16:28,142,2.26,11.4
2023-01-31 13:46:12,140,1.59,13.5
2023-01-17 15:53:44,263,3.4,17.7
2023-01-14 08:10:44,107,1.72,10.0
2023-01-24 10:45:42,249,1.53,10.7
2023-01-16 20:51:55,107,3.42,17.7
2023-01-08 21:04:03,107,5.14,22.6
2023-01-05 17:02:09,132,11.3,53.4
2023-01-04 19:09:12,141,1.39,10.7
2023-01-06 20:51:31,132,5.29,22.6
2023-01-20 17:12:29,138,8.09,37.3
2023-01-12 17:35:21,170,0.3,4.4
2023-01-06 21:30:11,48,1.5,10.0
2023-01-05 16:15:57,137,2.5,17.0
2023-01-10 18:14:46,263,0.67,7.2
2023-01-19 20:11:41,68,6.52,38.7
2023-01-24 07:29:30,263,1.6,12.8
2023-01-31 13:08:01,114,1.73,12.8
2023-01-12 23:46:58,79,4.27,17.7
2023-01-08 17:02:43,140,1.28,9.3
2023-01-26 13:01:35,237,1.8,13.5
2023-01-18 17:46:45,100,1.29,12.8
2023-01-13 20:03:59,143,1.84,12.8
2023-01-21 18:08:49,262,2.1,14.2
2023-01-29 18:59:23,162,2.58,14.2
2023-01-09 12:10:56,236,1.31,10.0
2023-01-28 01:48:57,263,2.01,12.1
2023-01-28 22:43:52,114,2.42,17.0
2023-01-21 15:30:55,142,2.98,16.3
2023-01-07 15:22:33,138,10.1,45.0
2023-01-20 20:19:33,79,0.75,6.5
2023-01-24 08:05:36,237,1.21,11.4
2023-01-29 11:17:07,161,2.38,11.4
2023-01-14 12:23:17,158,2.51,14.9
2023-01-24 17:55:52,100,1.02,9.3
2023-01-07 20:01:26,43,2.45,17.7
2023-01-18 11:30:09,246,1.77,18.4
2023-01-27 15:20:09,170,1.44,14.2
2023-01-27 14:29:34,230,1.4,10.7
2023-01-07 19:16:28,239,3.53,21.9
2023-01-04 21:02:27,158,2.8,13.5
2023-01-23 21:23:34,263,2.5,13.5
2023-01-22 12:10:06,264,3.36,17.7
2023-01-20 20:50:15,100,0.79,9.3
2023-01-22 15:25:25,148,3.53,21.9
2023-01-14 23:01:33,79,5.19,28.9
2023-01-12 15:20:58,162,2.8,19.5
2023-01-27 08:11:45,124,2.0,18.5
2023-01-24 07:08:20,50,1.46,9.3
2023-01-01 11:56:58,142,1.3,8.6
2023-01-15 01:22:20,132,14.65,55.5
2023-01-02 16:03:15,231,3.45,19.1
2023-01-10 16:53:39,239,2.02,10.7
2023-01-27 17:21:32,161,1.15,11.4
2023-01-25 05:31:54,236,19.1,70.0
2023-01-24 06:23:39,186,1.27,8.6
2023-01-10 11:22:07,162,0.9,11.4
2023-01-23 22:35:19,162,1.8,11.4
2023-01-15 13:13:38,79,0.7,5.8
2023-01-19 15:23:51,132,16.16,70.0
2023-01-19 23:26:07,186,7.7,35.2
2023-01-17 21:37:19,140,0.9,7.9
2023-01-26 18:02:57,246,2.87,14.9
2023-01-13 22:56:09,161,1.86,13.82
2023-01-15 01:02:07,90,6.62,30.3
2023-01-01 03:03:00,158,1.33,10.7
2023-01-10 09:07:48,41,0.75,5.1
2023-01-10 09:19:52,132,5.92,24.0
2023-01-17 13:23:01,148,0.0,3.0
2023-01-25 12:16:54,186,1.2,13.5
2023-01-24 13:47:38,68,3.5,22.6
2023-01-02 17:02:21,158,1.72,11.4
2023-01-26 16:07:47,107,2.07,19.1
2023-01-03 17:31:28,246,4.29,19.8
2023-01-08 17:20:21,236,0.73,7.2
2023-01-04 15:49:21,263,0.91,9.3
2023-01-05 17:47:49,161,1.75,16.3
2023-01-26 18:05:53,142,0.44,7.9
2023-01-12 15:57:03,170,2.6,19.1
2023-01-07 21:17:26,238,2.53,14.2
2023-01-27 10:50:50,138,4.0,17.0
2023-01-06 00:36:10,132,19.89,70.0
2023-01-05 11:34:04,234,4.1,24.0
2023-01-05 22:05:57,164,3.14,16.3
2023-01-17 12:57:01,239,1.86,12.1
2023-01-10 07:17:31,50,1.49,9.3
2023-01-10 22:15:44,144,3.52,17.7
2023-01-29 02:34:24,148,2.27,12.8
2023-01-28 16:33:04,164,1.77,14.2
2023-01-26 07:19:31,141,2.49,15.6
2023-01-03 01:14:50,138,8.51,37.3
2023-01-07 10:50:00,224,3.31,18.93
2023-01-29 18:54:07,107,2.82,15.6
2023-01-23 19:22:33,163,1.58,10.7
2023-01-03 06:30:39,68,1.71,11.4
2023-01-08 13:17:22,170,1.37,13.5
2023-01-29 14:38:34,68,17.94,88.1
2023-01-01 11:08:12,145,5.21,24.7
2023-01-11 19:40:59,229,1.23,7.9
2023-01-13 20:09:35,161,1.42,12.1
2023-01-03 16:44:13,132,19.0,70.0
2023-01-23 18:22:12,90,4.93,29.6
2023-01-07 13:32:14,170,1.13,9.3
2023-01-10 17:47:31,229,7.7,37.3
2023-01-09 09:06:17,79,0.92,6.5
2023-01-10 19:57:17,132,19.05,70.0
2023-01-18 18:04:25,230,0.95,9.3
2023-01-08 15:19:24,100,2.09,14.9
2023-01-25 12:40:43,113,0.57,5.8
2023-01-18 08:33:06,13,6.6,28.9
2023-01-27 14:38:22,263,2.97,18.4
2023-01-18 11:58:40,138,8.18,33.8
2023-01-02 22:18:25,132,21.26,80.0
2023-01-15 10:01:40,114,1.0,7.9
2023-01-24 08:29:58,138,12.1,56.2
2023-01-18 20:52:02,170,4.7,25.4
2023-01-20 13:43:50,68,1.7,14.9
2023-01-29 13:07:14,186,0.5,15.21
2023-01-07 06:35:15,186,2.1,12.1
2023-01-09 22:32:41,234,1.05,8.6
2023-01-17 08:30:24,162,0.83,5.8
2023-01-06 23:49:13,229,3.5,16.3
2023-01-31 23:07:32,100,6.03,30.3
2023-01-04 12:51:23,237,1.56,12.1
2023-01-20 13:37:52,141,2.8,17.7
2023-01-04 21:21:26,132,17.89,70.0
2023-01-31 07:40:52,211,0.9,6.5
2023-01-04 18:48:49,50,1.0,7.2
2023-01-31 22:50:32,132,18.49,70.0
2023-01-16 10:51:48,263,2.7,15.6
2023-01-13 23:13:29,148,5.11,22.6
2023-01-19 13:13:36,236,0.5,6.5
2023-01-04 12:55:10,68,1.54,11.4
2023-01-03 15:24:29,142,1.7,12.8
2023-01-26 17:30:55,186,1.0,10.0
2023-01-04 16:24:09,229,0.9,7.9
2023-01-18 19:19:43,211,3.5,19.8
2023-01-26 15:24:03,142,1.03,10.0
2023-01-02 20:14:11,162,0.65,5.1
2023-01-22 14:47:29,186,0.74,7.9
2023-01-05 22:35:26,148,3.2,15.6
2023-01-08 09:50:16,140,2.62,15.6
2023-01-17 16:52:59,166,1.17,10.0
2023-01-20 23:15:04,239,1.43,9.3
2023-01-02 00:19:40,230,1.0,14.9
2023-01-20 08:47:00,137,0.92,7.2
2023-01-08 14:00:02,90,0.73,5.8
2023-01-30 16:41:08,230,11.7,49.9
2023-01-11 19:09:31,237,0.99,7.2
2023-01-26 11:08:16,233,1.68,12.1
2023-01-23 12:56:22,239,0.17,4.4
2023-01-24 09:07:22,125,0.88,9.3
2023-01-17 15:41:21,236,3.45,24.7
2023-01-10 15:05:16,238,1.1,7.2
2023-01-09 19:22:35,161,2.97,17.0
2023-01-10 16:36:19,144,2.2,12.8
2023-01-13 16:14:21,138,9.11,50.6
2023-01-12 09:34:05,229,0.8,9.3
2023-01-14 20:52:02,43,0.72,6.5
2023-01-03 15:46:57,164,1.56,12.8
2023-01-03 20:37:03,114,1.93,12.8
2023-01-13 00:48:33,132,18.64,70.0
2023-01-11 12:43:34,143,2.11,14.2
2023-01-06 07:57:37,142,1.2,10.7
2023-01-05 12:55:48,262,2.32,16.3
2023-01-06 10:40:33,234,3.05,24.0
2023-01-31 10:02:01,264,0.0,10.0
2023-01-13 12:57:07,237,0.6,5.8
2023-01-12 15:14:26,239,0.9,10.0
2023-01-21 21:31:20,234,1.6,12.8
2023-01-13 14:41:52,239,1.6,10.0
2023-01-10 04:57:33,107,4.32,17.7
2023-01-06 09:37:25,140,2.17,14.9
2023-01-18 11:34:40,186,1.79,15.6
2023-01-19 10:35:30,140,3.7,28.2
2023-01-14 10:32:07,264,5.5,26.8
2023-01-03 08:55:43,90,0.46,4.4
2023-01-18 19:11:30,164,0.45,6.5
2023-01-22 02:03:39,114,1.24,10.7
2023-01-05 18:03:01,186,1.7,11.4
2023-01-24 20:14:08,137,2.5,14.2
2023-01-15 18:05:17,142,1.62,10.0
2023-01-16 17:52:54,68,3.64,24.41
2023-01-17 08:02:00,238,2.8,18.4
2023-01-30 17:36:56,143,4.49,24.0
2023-01-16 01:51:03,249,1.5,9.3
2023-01-25 22:47:15,237,0.6,7.9
2023-01-05 17:50:08,100,1.7,12.1
2023-01-05 11:11:38,43,1.88,14.2
2023-01-22 00:34:48,249,3.72,21.9
2023-01-04 11:26:33,211,3.09,20.5
2023-01-16 16:56:01,234,2.1,15.6
2023-01-27 08:30:13,132,18.6,70.0
2023-01-08 04:33:22,79,1.76,12.73
2023-01-13 13:54:26,161,2.0,15.6
2023-01-02 11:33:13,249,3.1,19.8
2023-01-28 23:51:54,79,1.5,9.3
2023-01-18 16:58:27,237,0.0,-3.0
2023-01-02 23:32:05,249,2.24,12.1
2023-01-30 15:01:20,140,7.2,33.8
2023-01-10 17:18:18,163,3.27,27.5
2023-01-01 15:54:51,186,7.19,32.4
2023-01-16 15:57:16,138,9.03,36.6
2023-01-22 21:04:48,87,6.06,24.7
2023-01-13 08:47:29,236,1.0,11.4
2023-01-19 19:34:18,162,2.6,17.0
